"COUNTRY","MMWR_WEEK_START","NEW_CONF_CASES","NEW_SUS_DEATHS","NEW_SUS_CASES","EPI_WEEK","EPI_YEAR"
"India",2024-09-29,44,2,362,2024,40
"India",2024-10-06,6,0,34,2024,41
"India",2024-10-13,2,0,28,2024,42
"India",2024-10-20,2,0,16,2024,43
"India",2024-10-27,100,8,402,2024,44
"India",2024-11-03,18,4,226,2024,45
"India",2024-11-10,30,0,152,2024,46
"India",2024-11-17,4,0,30,2024,47
"India",2024-11-24,0,0,0,2024,48
"India",2024-12-01,0,0,0,2024,49
"India",2024-12-08,10,0,470,2024,50
"India",2024-12-15,0,0,0,2024,51
"India",2024-12-22,4,0,42,2024,52
"India",2024-12-29,0,0,0,2025,1
"India",2025-01-05,0,0,0,2025,2
"India",2025-01-12,0,0,0,2025,3
"India",2025-01-19,0,0,0,2025,4
"India",2025-01-26,0,0,0,2025,5
"India",2025-02-02,16,0,164,2025,6
"India",2025-02-09,0,0,0,2025,7
"India",2025-02-16,0,0,0,2025,8
"India",2025-02-23,0,0,0,2025,9
"India",2025-03-02,6,0,160,2025,10
"India",2025-03-09,6,0,156,2025,11
"India",2025-03-16,0,0,0,2025,12
"India",2025-03-23,4,0,142,2025,13
"India",2025-03-30,36,0,0,2025,14
"India",2025-04-06,0,0,0,2025,15
"India",2025-04-13,0,0,0,2025,16
"India",2025-04-20,0,0,0,2025,17
"India",2025-04-27,0,0,0,2025,18
"India",2025-05-04,16,0,174,2025,19
"India",2025-05-11,0,0,0,2025,20
"India",2025-05-18,30,2,424,2025,21
"Myanmar",2024-06-16,39,0,0,2024,25
"Myanmar",2024-06-23,37,0,0,2024,26
"Myanmar",2024-06-30,838,0,0,2024,27
"Myanmar",2024-07-07,1020,0,0,2024,28
"Myanmar",2024-07-14,1326,0,0,2024,29
"Myanmar",2024-07-21,824,0,0,2024,30
"Myanmar",2024-07-28,1640,0,0,2024,31
"Myanmar",2024-08-04,1720,0,0,2024,32
"Myanmar",2024-08-11,1628,0,0,2024,33
"Myanmar",2024-08-18,1764,0,0,2024,34
"Myanmar",2024-08-25,744,0,0,2024,35
"Myanmar",2024-09-01,94,0,0,2024,36
"Myanmar",2024-09-08,36,0,0,2024,37
"Myanmar",2024-09-15,10,0,0,2024,38
"Myanmar",2024-09-22,52,0,0,2024,39
"Myanmar",2024-09-29,1160,0,0,2024,40
"Myanmar",2024-10-06,2,0,0,2024,41
"Myanmar",2024-10-13,622,0,0,2024,42
"Myanmar",2024-10-20,774,0,0,2024,43
"Myanmar",2024-10-27,54,0,0,2024,44
"Myanmar",2024-11-03,492,0,0,2024,45
"Myanmar",2024-11-10,120,0,0,2024,46
"Myanmar",2024-11-17,0,0,0,2024,47
"Myanmar",2024-11-24,0,0,0,2024,48
"Myanmar",2024-12-01,0,0,0,2024,49
"Myanmar",2024-12-08,0,0,0,2024,50
"Myanmar",2024-12-15,0,0,0,2024,51
"Myanmar",2024-12-22,0,0,0,2024,52
"Myanmar",2024-12-29,0,0,0,2025,1
"Myanmar",2025-01-05,172,0,0,2025,2
"Myanmar",2025-01-12,134,0,0,2025,3
"Myanmar",2025-01-19,113,0,0,2025,4
"Myanmar",2025-01-26,131,0,0,2025,5
"Myanmar",2025-02-02,45,0,0,2025,6
"Myanmar",2025-02-09,98,0,0,2025,7
"Myanmar",2025-02-16,76,0,0,2025,8
"Myanmar",2025-02-23,0,0,0,2025,9
"Myanmar",2025-03-02,57,0,0,2025,10
"Myanmar",2025-03-09,90,0,0,2025,11
"Myanmar",2025-03-16,84,0,0,2025,12
"Myanmar",2025-03-23,73,0,0,2025,13
"Myanmar",2025-03-30,34,0,0,2025,14
"Myanmar",2025-04-06,0,0,0,2025,15
"Myanmar",2025-04-13,66,0,0,2025,16
"Myanmar",2025-04-20,76,0,0,2025,17
"Myanmar",2025-04-27,99,0,0,2025,18
"Myanmar",2025-05-04,85,0,0,2025,19
"Nepal",2022-12-11,0,0,0,2022,50
"Nepal",2022-12-18,0,0,0,2022,51
"Nepal",2022-12-25,0,0,0,2022,52
"Nepal",2023-01-01,0,0,1,2023,1
"Nepal",2023-01-08,0,0,1,2023,2
"Nepal",2023-01-15,0,0,0,2023,3
"Nepal",2023-01-22,0,0,0,2023,4
"Nepal",2023-01-29,0,0,0,2023,5
"Nepal",2023-02-05,0,0,0,2023,6
"Nepal",2023-02-12,0,0,0,2023,7
"Nepal",2023-02-19,0,0,0,2023,8
"Nepal",2023-02-26,0,0,0,2023,9
"Nepal",2023-03-05,0,0,0,2023,10
"Nepal",2023-03-12,0,0,0,2023,11
"Nepal",2023-03-19,0,0,0,2023,12
"Nepal",2023-03-26,0,0,0,2023,13
"Nepal",2023-04-02,0,0,0,2023,14
"Nepal",2023-04-09,0,0,0,2023,15
"Nepal",2023-04-16,0,0,0,2023,16
"Nepal",2023-04-23,0,0,0,2023,17
"Nepal",2023-04-30,0,0,0,2023,18
"Nepal",2023-05-07,0,0,0,2023,19
"Nepal",2023-05-14,0,0,0,2023,20
"Nepal",2023-05-21,0,0,0,2023,21
"Nepal",2023-05-28,0,0,0,2023,22
"Nepal",2023-06-04,0,0,1,2023,23
"Nepal",2023-06-11,0,0,0,2023,24
"Nepal",2023-06-18,0,0,0,2023,25
"Nepal",2023-06-25,0,0,0,2023,26
"Nepal",2023-07-02,0,0,0,2023,27
"Nepal",2023-07-09,0,0,0,2023,28
"Nepal",2023-07-16,0,0,0,2023,29
"Nepal",2023-07-23,0,0,2,2023,30
"Nepal",2023-07-30,0,0,0,2023,31
"Nepal",2023-08-06,0,0,0,2023,32
"Nepal",2023-08-13,0,0,0,2023,33
"Nepal",2023-08-20,0,0,1,2023,34
"Nepal",2023-08-27,0,0,1,2023,35
"Nepal",2023-09-03,0,0,1,2023,36
"Nepal",2023-09-10,0,0,2,2023,37
"Nepal",2023-09-17,0,0,2,2023,38
"Nepal",2023-09-24,0,0,0,2023,39
"Nepal",2023-10-01,0,0,0,2023,40
"Nepal",2023-10-08,0,0,0,2023,41
"Nepal",2023-10-15,0,0,1,2023,42
"Nepal",2023-10-22,0,0,0,2023,43
"Nepal",2023-10-29,0,0,0,2023,44
"Nepal",2023-11-05,0,0,1,2023,45
"Nepal",2023-11-12,0,0,0,2023,46
"Nepal",2023-11-19,0,0,0,2023,47
"Nepal",2023-11-26,0,0,0,2023,48
"Nepal",2023-12-03,0,0,1,2023,49
"Nepal",2023-12-10,0,0,0,2023,50
"Nepal",2023-12-17,0,0,0,2023,51
"Nepal",2023-12-24,0,0,0,2023,52
"Nepal",2023-12-31,0,0,0,2024,1
"Nepal",2024-01-07,0,0,0,2024,2
"Nepal",2024-01-14,0,0,0,2024,3
"Nepal",2024-01-21,0,0,0,2024,4
"Nepal",2024-01-28,0,0,0,2024,5
"Nepal",2024-02-04,0,0,0,2024,6
"Nepal",2024-02-11,0,0,1,2024,7
"Nepal",2024-02-18,0,0,0,2024,8
"Nepal",2024-02-25,0,0,0,2024,9
"Nepal",2024-03-03,0,0,1,2024,10
"Nepal",2024-03-10,0,0,0,2024,11
"Nepal",2024-03-17,0,0,0,2024,12
"Nepal",2024-03-24,0,0,0,2024,13
"Nepal",2024-03-31,0,0,1,2024,14
"Nepal",2024-04-07,0,0,0,2024,15
"Nepal",2024-04-14,0,0,1,2024,16
"Nepal",2024-04-21,0,0,0,2024,17
"Nepal",2024-04-28,0,0,2,2024,18
"Nepal",2024-05-05,0,0,0,2024,19
"Nepal",2024-05-12,0,0,2,2024,20
"Nepal",2024-05-19,0,0,1,2024,21
"Nepal",2024-05-26,0,0,1,2024,22
"Nepal",2024-06-02,0,0,2,2024,23
"Nepal",2024-06-09,0,0,3,2024,24
"Nepal",2024-06-16,0,0,3,2024,25
"Nepal",2024-06-23,0,0,0,2024,26
"Nepal",2024-06-30,0,0,0,2024,27
"Nepal",2024-07-07,0,0,1,2024,28
"Nepal",2024-07-14,0,0,1,2024,29
"Nepal",2024-07-21,0,0,2,2024,30
"Nepal",2024-07-28,0,0,4,2024,31
"Nepal",2024-08-04,0,0,13,2024,32
"Nepal",2024-08-11,0,0,34,2024,33
"Nepal",2024-08-18,0,0,27,2024,34
"Nepal",2024-08-25,0,0,21,2024,35
"Nepal",2024-09-01,0,0,43,2024,36
"Nepal",2024-09-08,0,0,20,2024,37
"Nepal",2024-09-15,0,0,12,2024,38
"Nepal",2024-09-22,0,0,30,2024,39
"Nepal",2024-09-29,0,0,11,2024,40
"Nepal",2024-10-06,0,0,11,2024,41
"Nepal",2024-10-13,0,0,6,2024,42
"Nepal",2024-10-20,0,0,5,2024,43
"Nepal",2024-10-27,0,0,10,2024,44
"Nepal",2024-11-03,0,0,11,2024,45
"Nepal",2024-11-10,0,0,4,2024,46
"Nepal",2024-11-17,0,0,7,2024,47
"Nepal",2024-11-24,0,0,8,2024,48
"Nepal",2024-12-01,0,0,18,2024,49
"Nepal",2024-12-08,0,0,7,2024,50
"Nepal",2024-12-15,0,0,9,2024,51
"Nepal",2024-12-22,0,0,16,2024,52
"Nepal",2024-12-29,0,0,11,2025,1
"Nepal",2025-01-05,0,0,0,2025,2
"Nepal",2025-01-12,0,0,18,2025,3
"Nepal",2025-01-19,0,0,6,2025,4
"Nepal",2025-01-26,0,0,25,2025,5
