"reporting_country","clade","date","clade_group"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-11,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"Thailand",NA,2023-08-21,"Others"
"India",NA,2023-01-02,"Others"
"India",NA,2023-02-20,"Others"
"India",NA,2023-05-22,"Others"
"India",NA,2023-06-19,"Others"
"India",NA,2022-09-26,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
"Thailand",NA,2023-09-18,"Others"
